t,x,y,z
6.088179157E0,9.533603668E0,8.973085321E-3,2.235494614E0
6.090555875E0,9.552745819E0,2.811566554E-2,2.226521492E0
6.092932594E0,9.547960281E0,3.290131316E-2,2.235494614E0
6.095309365E0,9.567103386E0,2.333002165E-2,2.240878344E0
6.097686084E0,9.580862045E0,2.333002165E-2,2.260020971E0
6.100062803E0,9.580862045E0,1.375873014E-2,2.269592285E0
6.102439521E0,9.552147865E0,2.333002165E-2,2.254637241E0
6.104816240E0,9.581459999E0,1.854437590E-2,2.250449657E0
6.107193011E0,9.585647583E0,4.187439568E-3,2.264806747E0
6.109569730E0,9.566504478E0,-5.383851007E-3,2.268994093E0
6.111946448E0,9.600004196E0,4.187439568E-3,2.264806747E0
6.114323167E0,9.576674461E0,-2.452643216E-2,2.249851465E0
6.116699886E0,9.557532310E0,-3.409772366E-2,2.245065928E0
6.119076605E0,9.562317848E0,-1.495514158E-2,2.225923300E0
6.121453375E0,9.567103386E0,-5.742774159E-2,2.235494614E0
6.123830094E0,9.543174744E0,-3.888336942E-2,2.235494614E0
6.126206813E0,9.519247055E0,-6.281159073E-2,2.239681959E0
6.128583532E0,9.514460564E0,-6.759724021E-2,2.234896421E0
6.130960303E0,9.500103951E0,-8.614161611E-2,2.229512453E0
6.133337021E0,9.485747337E0,-1.004985496E-1,2.224726915E0
6.135713740E0,9.471988678E0,-1.004985496E-1,2.215155602E0
6.138090459E0,9.481559753E0,-1.148554832E-1,2.210369825E0
6.140467178E0,9.462417603E0,-1.148554832E-1,2.200200319E0
6.142843948E0,9.476774216E0,-1.387837082E-1,2.224128723E0
6.145220667E0,9.462417603E0,-1.531406492E-1,2.219342947E0
6.147597386E0,9.461818695E0,-1.292124242E-1,2.228914261E0
6.149974105E0,9.452845573E0,-1.339980662E-1,2.204986095E0
6.152350823E0,9.473184586E0,-1.429711580E-1,2.061416626E0
6.154727542E0,9.449854851E0,-1.573280841E-1,2.041675806E0
6.157104313E0,9.472586632E0,-1.435693651E-1,2.166700840E0
6.159481032E0,9.494720459E0,-1.393819153E-1,2.320439816E0
6.161857750E0,9.489336014E0,-1.441675574E-1,2.348555326E0
6.164234469E0,9.470791817E0,-1.489532143E-1,2.300698996E0
6.166611188E0,9.476176262E0,-1.483550072E-1,2.252842426E0
6.168987959E0,9.486345291E0,-1.435693651E-1,2.209771633E0
6.171364678E0,9.495916367E0,-1.435693651E-1,2.176272154E0
6.173741396E0,9.515059471E0,-1.244267747E-1,2.200798512E0
6.176118115E0,9.534201622E0,-1.435693651E-1,2.219941139E0
6.178494834E0,9.548559189E0,-1.435693651E-1,2.219941139E0
6.180871605E0,9.533603668E0,-1.196411327E-1,2.243869543E0
6.183248323E0,9.557532310E0,-1.339980662E-1,2.244467735E0
6.185625042E0,9.557532310E0,-9.571290761E-2,2.239681959E0
6.188001761E0,9.559925079E0,-1.142572835E-1,2.033899307E0
6.190378532E0,9.557532310E0,-1.465603858E-1,1.803590059E0
6.192755250E0,9.545567513E0,-1.286142170E-1,2.057229280E0
6.195131969E0,9.570692062E0,-8.195417374E-2,2.379662037E0
6.197508688E0,9.559326172E0,-5.862415582E-2,2.528017044E0
6.199885407E0,9.516255379E0,-6.400800496E-2,2.546561480E0
6.202262125E0,9.549755096E0,-8.255238086E-2,2.522633314E0
6.204638896E0,9.521639824E0,-5.862415582E-2,2.450848579E0
6.207015615E0,9.518050194E0,-6.281159073E-2,2.335394859E0
6.209392334E0,9.538389206E0,-8.135596663E-2,2.263610125E0
6.211769053E0,9.538389206E0,-6.221338734E-2,2.239681959E0
6.214145823E0,9.538389206E0,-7.716853172E-2,2.263610125E0
6.216522542E0,9.533005714E0,-8.195417374E-2,2.282752752E0
6.218899261E0,9.528220177E0,-7.716853172E-2,2.292324066E0
6.221275980E0,9.533005714E0,-9.152546525E-2,2.277967215E0
6.223652698E0,9.524032593E0,-1.052841991E-1,2.263011932E0
6.226029417E0,9.509675026E0,-9.152546525E-2,2.258226395E0
6.228406188E0,9.514460564E0,-1.100698411E-1,2.234298229E0
6.230782907E0,9.509675026E0,-9.092725813E-2,2.229512453E0
6.233159625E0,9.529416084E0,-1.004985496E-1,2.210968018E0
6.235536344E0,9.519845009E0,-1.196411327E-1,2.219941139E0
6.237913063E0,9.519845009E0,-1.196411327E-1,2.219941139E0
6.240289834E0,9.505488396E0,-1.339980662E-1,2.205584288E0
6.242666553E0,9.534201622E0,-1.573280841E-1,2.181656122E0
6.245043271E0,9.535398483E0,-1.621137410E-1,2.071586132E0
6.247419990E0,9.512666702E0,-1.519442350E-1,1.971087694E0
6.249796709E0,9.510871887E0,-1.716850251E-1,2.152343988E0
6.252173480E0,9.518648148E0,-1.393819153E-1,2.330011129E0
6.254550198E0,9.513264656E0,-1.441675574E-1,2.353939295E0
6.256926917E0,9.504889488E0,-1.579262912E-1,2.272583246E0
6.259303636E0,9.501300812E0,-1.764706671E-1,2.166700840E0
6.261680355E0,9.482755661E0,-1.764706671E-1,2.104487419E0
6.264057125E0,9.497113228E0,-1.477568001E-1,2.109273195E0
6.266433844E0,9.496515274E0,-1.429711580E-1,2.119442701E0
6.268810563E0,9.510871887E0,-1.477568001E-1,2.157727718E0
6.271187282E0,9.510273933E0,-1.435693651E-1,2.186441660E0
6.273564053E0,9.505488396E0,-1.387837082E-1,2.205584288E0
